,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
10,/title/tt0386676/?ref_=ttls_li_tt,The Office,11,(2005–2013),14,22  ,Comedy,9,"['Steve Carell', 'Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",637309,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
11,/title/tt2560140/?ref_=ttls_li_tt,Attack on Titan,12,(2013–2023),MA,24  ,"Animation, Action, Adventure",9.1,"['Josh Grelle', 'Bryce Papenbrook', 'Yûki Kaji', 'Yui Ishikawa']",408319,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
12,/title/tt4574334/?ref_=ttls_li_tt,Stranger Things,13,(2016–2022),14,51  ,"Drama, Fantasy, Horror",8.7,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",1238960,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
13,/title/tt2356777/?ref_=ttls_li_tt,True Detective,14,(2014– ),MA,55  ,"Crime, Drama, Mystery",8.9,"['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",592615,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
14,/title/tt3032476/?ref_=ttls_li_tt,Better Call Saul,15,(2015–2022),MA,46  ,"Crime, Drama",8.9,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",570948,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
15,/title/tt0877057/?ref_=ttls_li_tt,Death Note,16,(2006–2007),14,23  ,"Animation, Crime, Drama",9,"['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong', 'Ryô Naitô']",341258,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
16,/title/tt2442560/?ref_=ttls_li_tt,Peaky Blinders,17,(2013–2022),MA,60  ,"Crime, Drama",8.8,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory']",578596,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
17,/title/tt2085059/?ref_=ttls_li_tt,Black Mirror,18,(2011– ),MA,60  ,"Drama, Mystery, Sci-Fi",8.8,"['Daniel Lapaine', 'Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",569974,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
18,/title/tt0773262/?ref_=ttls_li_tt,Dexter,19,(2006–2013),MA,53  ,"Crime, Drama, Mystery",8.7,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",737552,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
19,/title/tt2802850/?ref_=ttls_li_tt,Fargo,20,(2014–2023),MA,53  ,"Crime, Drama, Thriller",8.9,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",382512,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
20,/title/tt0303461/?ref_=ttls_li_tt,Firefly,21,(2002–2003),14,44  ,"Adventure, Drama, Sci-Fi",9,"['Nathan Fillion', 'Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",271280,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
21,/title/tt0098904/?ref_=ttls_li_tt,Seinfeld,22,(1989–1998),PG,22  ,Comedy,8.9,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",330274,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
22,/title/tt2707408/?ref_=ttls_li_tt,Narcos,23,(2015–2017),MA,49  ,"Biography, Crime, Drama",8.8,"['Pedro Pascal', 'Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']",440376,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
23,/title/tt1355642/?ref_=ttls_li_tt,Fullmetal Alchemist: Brotherhood,24,(2009–2010),14,24  ,"Animation, Action, Adventure",9.1,"['Kent Williams', 'Iemasa Kayumi', 'Matthew Leonhart', 'Vic Mignogna']",177671,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
24,/title/tt1190634/?ref_=ttls_li_tt,The Boys,25,(2019– ),MA,60  ,"Action, Comedy, Crime",8.7,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']",548803,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
25,/title/tt8111088/?ref_=ttls_li_tt,The Mandalorian,26,(2019– ),14,40  ,"Action, Adventure, Fantasy",8.7,"['Pedro Pascal', 'Chris Bartlett', 'Katee Sackhoff', 'Carl Weathers']",540988,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
26,/title/tt11126994/?ref_=ttls_li_tt,Arcane,27,(2021– ),14,41  ,"Animation, Action, Adventure",9,"['Hailee Steinfeld', 'Kevin Alejandro', 'Jason Spisak', 'Terri Douglas']",226426,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart."
27,/title/tt3581920/?ref_=ttls_li_tt,The Last of Us,28,(2023– ),MA,50  ,"Action, Adventure, Drama",8.8,"['Pedro Pascal', 'Bella Ramsey', 'Anna Torv', 'Lamar Johnson']",401339,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
28,/title/tt1856010/?ref_=ttls_li_tt,House of Cards,29,(2013–2018),MA,51  ,Drama,8.7,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",513755,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
29,/title/tt0412142/?ref_=ttls_li_tt,House,30,(2004–2012),14,44  ,"Drama, Mystery",8.7,"['Hugh Laurie', 'Omar Epps', 'Robert Sean Leonard', 'Jesse Spencer']",477804,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
30,/title/tt0096697/?ref_=ttls_li_tt,The Simpsons,31,(1989– ),14,22  ,"Animation, Comedy",8.7,"['Dan Castellaneta', 'Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']",416915,The satiric adventures of a working-class family in the misfit city of Springfield.
31,/title/tt5753856/?ref_=ttls_li_tt,Dark,32,(2017–2020),MA,60  ,"Crime, Drama, Mystery",8.7,"['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne']",407222,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
32,/title/tt0121955/?ref_=ttls_li_tt,South Park,33,(1997– ),14,22  ,"Animation, Comedy",8.7,"['Trey Parker', 'Matt Stone', 'Isaac Hayes', 'Mona Marshall']",386877,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
33,/title/tt10048342/?ref_=ttls_li_tt,The Queen's Gambit,34,(2020),MA,60  ,Drama,8.6,"['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp', 'Marcin Dorocinski']",486176,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
34,/title/tt10986410/?ref_=ttls_li_tt,Ted Lasso,35,(2020– ),MA,30  ,"Comedy, Drama, Sport",8.8,"['Jason Sudeikis', 'Brett Goldstein', 'Hannah Waddingham', 'Brendan Hunt']",256547,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
35,/title/tt3322312/?ref_=ttls_li_tt,Daredevil,36,(2015–2018),MA,54  ,"Action, Crime, Drama",8.6,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",452108,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
36,/title/tt0367279/?ref_=ttls_li_tt,Arrested Development,37,(2003–2019),14,22  ,Comedy,8.7,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",312100,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
37,/title/tt0472954/?ref_=ttls_li_tt,It's Always Sunny in Philadelphia,38,(2005– ),MA,22  ,Comedy,8.8,"['Charlie Day', 'Rob McElhenney', 'Kaitlin Olson', 'Glenn Howerton']",234265,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
38,/title/tt2306299/?ref_=ttls_li_tt,Vikings,39,(2013–2020),MA,44  ,"Action, Adventure, Drama",8.5,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",550093,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
39,/title/tt0475784/?ref_=ttls_li_tt,Westworld,40,(2016–2022),MA,62  ,"Drama, Mystery, Sci-Fi",8.5,"['Evan Rachel Wood', 'Jeffrey Wright', 'Ed Harris', 'Thandiwe Newton']",514869,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
40,/title/tt0098936/?ref_=ttls_li_tt,Twin Peaks,41,(1990–1991),MA,47  ,"Crime, Drama, Mystery",8.8,"['Kyle MacLachlan', 'Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']",203568,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
41,/title/tt0052520/?ref_=ttls_li_tt,The Twilight Zone,42,(1959–1964),PG,51  ,"Drama, Fantasy, Horror",9.1,"['Rod Serling', 'Robert McCord', 'Jay Overholts', 'James Turley']",86926,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
42,/title/tt2098220/?ref_=ttls_li_tt,Hunter x Hunter,43,(2011–2014),14,24  ,"Animation, Action, Adventure",9,"['Issei Futamata', 'Megumi Han', 'Cristina Valenzuela', 'Mariya Ise']",110269,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
43,/title/tt1442437/?ref_=ttls_li_tt,Modern Family,44,(2009–2020),PG,22  ,"Comedy, Drama, Romance",8.5,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",448662,Three different but related families face trials and tribulations in their own uniquely comedic ways.
44,/title/tt0804503/?ref_=ttls_li_tt,Mad Men,45,(2007–2015),MA,47  ,Drama,8.7,"['Jon Hamm', 'Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",246590,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
45,/title/tt0103359/?ref_=ttls_li_tt,Batman: The Animated Series,46,(1992–1995),PG,23  ,"Animation, Action, Adventure",9,"['Kevin Conroy', 'Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']",108148,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
46,/title/tt7660850/?ref_=ttls_li_tt,Succession,47,(2018–2023),MA,60  ,"Comedy, Drama",8.8,"['Nicholas Braun', 'Brian Cox', 'Kieran Culkin', 'Peter Friedman']",183336,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
47,/title/tt0388629/?ref_=ttls_li_tt,One Piece,48,(1999– ),14,24  ,"Animation, Action, Adventure",8.9,"['Mayumi Tanaka', 'Laurent Vernin', 'Tony Beck', 'Akemi Okamura']",138123,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
48,/title/tt1124373/?ref_=ttls_li_tt,Sons of Anarchy,49,(2008–2014),MA,45  ,"Crime, Drama, Thriller",8.6,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",306228,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
49,/title/tt5290382/?ref_=ttls_li_tt,Mindhunter,50,(2017–2019),MA,60  ,"Crime, Drama, Mystery",8.6,"['Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross']",304323,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
50,/title/tt3398228/?ref_=ttls_li_tt,BoJack Horseman,51,(2014–2020),MA,25  ,"Animation, Comedy, Drama",8.8,"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']",168308,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
51,/title/tt4158110/?ref_=ttls_li_tt,Mr. Robot,52,(2015–2019),MA,49  ,"Crime, Drama, Thriller",8.5,"['Rami Malek', 'Christian Slater', 'Carly Chaikin', 'Martin Wallström']",397712,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
52,/title/tt7137906/?ref_=ttls_li_tt,When They See Us,53,(2019),MA,296  ,"Biography, Crime, Drama",8.9,"['Asante Blackk', 'Caleel Harris', 'Ethan Herisse', 'Marquis Rodriguez']",127221,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
53,/title/tt0213338/?ref_=ttls_li_tt,Cowboy Bebop,54,(1998–1999),14,24  ,"Animation, Action, Adventure",8.9,"['Kôichi Yamadera', 'Unshô Ishizuka', 'Megumi Hayashibara', 'Steve Blum']",126183,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
54,/title/tt1606375/?ref_=ttls_li_tt,Downton Abbey,55,(2010–2015),PG,58  ,"Drama, Romance",8.7,"['Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']",212920,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
55,/title/tt0460649/?ref_=ttls_li_tt,How I Met Your Mother,56,(2005–2014),14,22  ,"Comedy, Drama, Romance",8.3,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",699589,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
56,/title/tt1266020/?ref_=ttls_li_tt,Parks and Recreation,57,(2009–2015),14,22  ,Comedy,8.6,"['Amy Poehler', ""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",269411,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
57,/title/tt1865718/?ref_=ttls_li_tt,Gravity Falls,58,(2012–2016),Y7,23  ,"Animation, Adventure, Comedy",8.9,"['Jason Ritter', 'Alex Hirsch', 'Kristen Schaal', 'Linda Cardellini']",117635,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
58,/title/tt6763664/?ref_=ttls_li_tt,The Haunting of Hill House,59,(2018),MA,572  ,"Drama, Horror, Mystery",8.6,"['Michiel Huisman', 'Carla Gugino', 'Henry Thomas', 'Elizabeth Reaser']",257272,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
59,/title/tt0193676/?ref_=ttls_li_tt,Freaks and Geeks,60,(1999–2000),14,44  ,"Comedy, Drama",8.8,"['Linda Cardellini', 'John Francis Daley', 'James Franco', 'Samm Levine']",146707,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
60,/title/tt1586680/?ref_=ttls_li_tt,Shameless,61,(2011–2021),MA,46  ,"Comedy, Drama",8.6,"['Emmy Rossum', 'William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']",253339,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
61,/title/tt0460681/?ref_=ttls_li_tt,Supernatural,62,(2005–2020),14,44  ,"Drama, Fantasy, Horror",8.4,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",457865,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
62,/title/tt5071412/?ref_=ttls_li_tt,Ozark,63,(2017–2022),MA,60  ,"Crime, Drama, Thriller",8.5,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",326060,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
63,/title/tt5071412/?ref_=ttls_li_tt,Ozark,63,(2017–2022),MA,60  ,"Crime, Drama, Thriller",8.5,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",326060,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
64,/title/tt0898266/?ref_=ttls_li_tt,The Big Bang Theory,65,(2007–2019),PG,22  ,"Comedy, Romance",8.2,"['Johnny Galecki', 'Jim Parsons', 'Kaley Cuoco', 'Simon Helberg']",827303,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
65,/title/tt0214341/?ref_=ttls_li_tt,Dragon Ball Z,66,(1989–1996),PG,24  ,"Animation, Action, Adventure",8.8,"['Doc Harris', 'Christopher Sabat', 'Scott McNeil', 'Sean Schemmel']",136364,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
66,/title/tt0384766/?ref_=ttls_li_tt,Rome,67,(2005–2007),MA,52  ,"Action, Drama, Romance",8.7,"['Kevin McKidd', 'Ray Stevenson', 'Polly Walker', 'Kerry Condon']",176288,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
67,/title/tt0106179/?ref_=ttls_li_tt,The X-Files,68,(1993–2018),14,45  ,"Crime, Drama, Mystery",8.6,"['David Duchovny', 'Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']",233697,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
68,/title/tt1632701/?ref_=ttls_li_tt,Suits,69,(2011–2019),14,44  ,"Comedy, Drama",8.4,"['Gabriel Macht', 'Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",423943,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
69,/title/tt0264235/?ref_=ttls_li_tt,Curb Your Enthusiasm,70,(2000– ),MA,28  ,Comedy,8.8,"['Larry David', 'Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",133846,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
70,/title/tt4236770/?ref_=ttls_li_tt,Yellowstone,71,(2018–2023),MA,60  ,"Drama, Western",8.7,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly', 'Wes Bentley']",175303,A ranching family in Montana faces off against others encroaching on their land.
71,/title/tt0436992/?ref_=ttls_li_tt,Doctor Who,72,(2005– ),PG,45  ,"Adventure, Drama, Sci-Fi",8.6,"['Jodie Whittaker', 'Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",230943,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
72,/title/tt4786824/?ref_=ttls_li_tt,The Crown,73,(2016–2023),MA,58  ,"Biography, Drama, History",8.6,"['Claire Foy', 'Olivia Colman', 'Imelda Staunton', 'Matt Smith']",229261,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
73,/title/tt0411008/?ref_=ttls_li_tt,Lost,74,(2004–2010),14,44  ,"Adventure, Drama, Fantasy",8.3,"['Jorge Garcia', 'Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",566508,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
74,/title/tt5687612/?ref_=ttls_li_tt,Fleabag,75,(2016–2019),MA,27  ,"Comedy, Drama",8.7,"['Phoebe Waller-Bridge', 'Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']",172173,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
75,/title/tt0407362/?ref_=ttls_li_tt,Battlestar Galactica,76,(2004–2009),14,44  ,"Action, Adventure, Drama",8.7,"['Edward James Olmos', 'Mary McDonnell', 'Jamie Bamber', 'James Callis']",169743,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
76,/title/tt4508902/?ref_=ttls_li_tt,One Punch Man,77,(2015–2019),PG,24  ,"Animation, Action, Comedy",8.7,"['Makoto Furukawa', 'Kaito Ishikawa', 'Max Mittelman', 'Zach Aguilar']",169149,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
77,/title/tt0455275/?ref_=ttls_li_tt,Prison Break,78,(2005–2017),14,44  ,"Action, Crime, Drama",8.3,"['Dominic Purcell', 'Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",550506,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
78,/title/tt1520211/?ref_=ttls_li_tt,The Walking Dead,79,(2010–2022),MA,44  ,"Drama, Horror, Thriller",8.1,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",1025075,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
79,/title/tt1439629/?ref_=ttls_li_tt,Community,80,(2009–2015),14,22  ,Comedy,8.5,"['Joel McHale', 'Danny Pudi', 'Donald Glover', 'Chevy Chase']",275693,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
80,/title/tt6741278/?ref_=ttls_li_tt,Invincible,81,(2021– ),MA,50  ,"Animation, Action, Adventure",8.7,"['Steven Yeun', 'J.K. Simmons', 'Sandra Oh', 'Zazie Beetz']",151585,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
81,/title/tt11280740/?ref_=ttls_li_tt,Severance,82,(2022– ),MA,55  ,"Drama, Mystery, Sci-Fi",8.7,"['Adam Scott', 'Zach Cherry', 'Britt Lower', 'Tramell Tillman']",150807,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
82,/title/tt5555260/?ref_=ttls_li_tt,This Is Us,83,(2016–2022),14,45  ,"Comedy, Drama, Romance",8.7,"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",149195,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
83,/title/tt2243973/?ref_=ttls_li_tt,Hannibal,84,(2013–2015),MA,44  ,"Crime, Drama, Horror",8.5,"['Hugh Dancy', 'Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']",261536,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
84,/title/tt0979432/?ref_=ttls_li_tt,Boardwalk Empire,85,(2010–2014),MA,55  ,"Crime, Drama",8.6,"['Steve Buscemi', 'Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']",194516,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
85,/title/tt1442449/?ref_=ttls_li_tt,Spartacus,86,(2010–2013),MA,55  ,"Action, Adventure, Biography",8.5,"['Andy Whitfield', 'Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']",247238,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
86,/title/tt5675620/?ref_=ttls_li_tt,The Punisher,87,(2017–2019),MA,53  ,"Action, Crime, Drama",8.5,"['Jon Bernthal', 'Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']",246631,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
